t wg g10 g5 g2
0 9712679 10015311 10150592 10987923
0.05 10023306 9828635 10263177 10898570
0.1 9721404 10434516 10487946 10969870
0.15 10114315 10140203 10612538 11271778
0.2 9914920 9942193 10035868 11350322
0.25 9992827 10333772 10561843 10947133
0.3 9794060 10394891 10270373 11077877
0.35 9913652 9953959 10596001 10932459
0.4 10128271 10392224 10221787 11267820
0.45 9634157 10319231 10370884 10770282
0.5 10010402 9920576 10376501 11242984
0.55 10088348 10366206 10470114 11102534
0.6 9756289 10331621 10486887 10728740
0.65 9850514 9974236 10827793 11137078
0.7 9962450 10256341 10318828 11250097
0.75 9955975 10236350 10566930 10631550
0.8 9747033 10099989 10483757 10735772
0.85 9984955 10319727 10381031 11315207
0.9 9727066 10201551 10605412 10833900
0.95 9765275 10098987 10644288 11214230
1 9934152 10155228 10124842 11279075
1.05 9944579 10193625 10543519 10801507
1.1 9561895 10405323 10449950 11322816
1.15 10125618 10190826 10919432 10921246
1.2 9935893 10190218 10115173 10884775
1.25 9488185 10320634 10686260 11214228
1.3 10037276 10115035 10631878 11207623
1.35 10000678 10429526 10195366 10654664
1.4 9772844 10819329 10319646 10600487 11463762
1.45 10205735 10116123 10964860 11195815
1.5 10312684 10195724 9978732 11088880
1.55 9669386 10271006 10681508 10953941
1.6 10188311 9982719 10400857 11215064
1.65 9983221 10143861 10392215 11177019
1.7 9676094 10422226 10514415 10795212
1.75 9934502 9865645 10694512 11325230
1.8 10367948 9917285 10072330 11158401
1.85 9434935 10362282 11136156 10714534
1.9 10163460 10304101 10515748 11091004
1.95 9883985 9784783 10379692 11218591
2 9704474 10421752 10671388 10830972
2.05 9908610 10149569 10768539 11237492
2.1 10209134 10126313 10174442 11152641
2.15 9750227 10191748 10601215 10735416
2.2 9988762 10269685 10742654 11430374
2.25 10035306 9730585 10143637 11183725
2.3 10178346 10481934 10678258 11296123
2.35 9557110 10205793 10444459 10770983
2.4 10212389 9966369 10479383 11220067
2.45 9847370 10350593 10357407 10964519
2.5 9730467 10477548 10699639 11306702
2.55 9922808 9997575 10488881 11255638
2.6 10177371 10114186 10334375 10853014
2.65 9683910 10587981 10678878 11171726
2.7 10125935 9658693 10567821 11165134
2.75 9762670 10332973 10269596 11226723
2.8 9787876 10116532 10695403 10948883
2.85 10062948 10198910 10487322 10944309
2.9 10375922 10430970 10476408 11193498
2.95 9492173 10041208 10675495 11235843
3 10214022 10129869 10581498 10960801
3.05 9997251 10278509 10230102 11096624
3.1 9958509 10051377 10716702 11191694
3.15 10201762 10231061 10484135 11155324
3.2 10001880 10281187 10501755 10862793
3.25 10107084 10245639 10481719 11191515
3.3 9873029 10003122 10523882 11158556
3.35 10024422 10481945 10309136 10828111
3.4 10243219 10230701 10806203 11059688
3.45 9666707 10075295 10541417 11375340
3.5 10034085 10321012 10536505 11235388
3.55 10143719 10364148 10377674 10764614
3.6 9892653 9874096 10664044 11133152
3.65 9884455 10297189 10583518 11260765
3.7 9886602 10522202 10673628 10708742
3.75 9636375 10166393 10398945 11311848
3.8 9772844 10132564 10790070 11178864
3.85 9991684 10384241 10162188 10655761
3.9 9883070 9865637 10954943 10944548
3.95 9604738 10465388 10518188 11278196
4 9933376 10012180 10474693 10866295
4.05 9978078 10156882 10546919 11272243
4.1 9480743 10234367 10808983 11172403
4.15 10224699 10502903 10138741 10799493
4.2 9959632 10053452 10791380 11144325
4.25 9673442 10223652 10483826 11396000
4.3 9878542 10291462 10398428 10726177
4.35 10308548 10461037 10179274 11350819
4.4 9331504 10042735 10783450 11098714
4.45 10205735 10408402 10558999 10886668
4.5 9893197 10155656 10343869 11056939
4.55 9829715 10210854 10315614 11348166
4.6 9952429 10093815 10678135 10736224
4.65 10323191 10494991 10169492 11002663
4.7 9455535 9867775 10832365 11219747
4.75 10132778 10250239 10484804 11276855
4.8 9848443 9900548 10238983 10688614
4.85 9622596 10020006 10783568 11359418
4.9 9905782 9893674 10818304 10949187
4.95 10210404 10328360 10013165 10874510
