t wg g10
0 9853124 9722539
0.05 9320162 10344725
0.1 10168300 10350583
0.15 9508214 10185499
0.2 9739072 9918219
0.25 9740111 10463285
0.3 10045138 10194990
0.35 9445766 10052694
0.4 9916121 10261724
0.45 9702492 10202508
0.5 9647513 9924626
0.55 9817519 10361694
0.6 9924069 10110370
0.65 9455904 9949709
0.7 10122987 10487231
0.75 9664434 10199863
0.8 9793602 10501567
0.85 9585695 10342292
0.9 29251745 31887823
0.95 13403382 22045443
1 10065889 10150804
1.05 9747603 9981226
1.1 9757633 9970925
1.15 9666608 10367666
1.2 10095569 9991215
1.25 9408498 10169647
1.3 10027551 9997300
1.35 9553227 10053426
1.4 9684012 10143672
1.45 9470071 9706182
1.5 10043311 10080647
1.55 9649930 10216067
1.6 9616641 10004015
1.65 9605276 10011247
1.7 9874473 10209026
1.75 9211468 9656355
1.8 10017051 10158133
1.85 9640328 10025113
1.9 9708389 9826540
1.95 9433104 9724784
2 9914674 10232012
2.05 8991469 9990677
2.1 10030526 9858660
2.15 9658889 9873177
2.2 9786101 10211097
2.25 9505208 9545550
2.3 10167433 10090062
2.35 9261758 10059837
2.4 10100240 9927577
2.45 9458200 9833702
2.5 9614964 10143627
2.55 9504331 9423276
2.6 10028821 10164986
2.65 9112121 9925681
2.7 9958936 9917251
2.75 9599377 10110226
2.8 9720345 10312252
2.85 9396960 9560905
2.9 10136452 10393873
2.95 9380448 10037729
