t wg g10
0 10058632 9988164
0.05 9677467 10348690
0.1 9808030 10386124
0.15 9709998 9818461
0.2 9935683 10257166
0.25 9281807 10158752
0.3 10165531 10058066
0.35 9639036 10434068
0.4 9885761 10504767
0.45 9430006 10178447
0.5 10080275 10015958
0.55 9741706 10279331
0.6 9799026 10556108
0.65 9588994 10010586
0.7 10125553 10260634
0.75 9171254 10314239
0.8 10069843 10086324
0.85 9863098 10450346
0.9 28580157 32971718
0.95 15101463 13241094
1 10111079 10469850
1.05 9154042 9908732
1.1 10269023 10425233
1.15 9690504 10260332
1.2 9699726 10152220
1.25 9725904 10204596
1.3 10138020 10472771
1.35 9330735 10451634
1.4 10165774 10141890
1.45 9618410 10223873
1.5 9852682 10272901
1.55 9655541 10247484
1.6 10279931 10328983
1.65 9484028 10311532
1.7 9777134 9978233
1.75 9670986 10401675
1.8 9994492 10249944
1.85 9650953 9896427
1.9 10080348 10346182
1.95 9619873 10151531
2 9865021 9825128
2.05 9786371 10342102
2.1 10033377 10152279
2.15 9293161 10119744
2.2 10237309 9905239
2.25 9759858 10339250
2.3 9581467 10237713
2.35 9841024 10080357
2.4 10113014 10201199
2.45 10047223 10217114
2.5 10084476 9873683
2.55 9810142 10149674
2.6 9727945 10337040
2.65 9759018 9901059
2.7 9901837 10121793
2.75 9447971 10223255
2.8 10169133 10009023
2.85 9930824 10200610
2.9 10073088 10507904
2.95 9421381 9663825
