t wg g10
0 11972827 9481923
0.05 9805252 13811253
0.1 9682734 10100511
0.15 9886295 9616488
0.2 12630724 10183389
0.25 10105652 11595872
0.3 9996130 11078737
0.35 13888979 14860549
0.4 12830789 10650900
0.45 9591332 12887960
0.5 9903594 12284774
0.55 9719100 11035705
0.6 12364401 10580564
0.65 9947593 12096481
0.7 9823802 13381082
0.75 9513166 10662709
0.8 12662159 10718602
0.85 10039538 10826801
0.9 9437590 14171149
0.95 9801946 10773131
1 11023888 10327406
1.05 11216384 10734106
1.1 9940870 14470480
1.15 9802743 10955278
1.2 10277167 10838186
1.25 12330414 10386637
1.3 9678277 12707838
1.35 9502505 21817336
1.4 9837580 10811367
1.45 13240415 10414611
1.5 9654557 12479016
1.55 9933997 14415844
1.6 9901011 10951339
1.65 12503106 11249413
1.7 9825784 12722246
1.75 9529260 13588278
1.8 9823632 11263128
1.85 10135872 11007594
1.9 12480786 15000258
1.95 9982868 15277080
2 9846872 10861342
2.05 11398911 11229524
2.1 11282367 11303616
2.15 10440628 15158912
2.2 9689251 11415865
2.25 10791160 11326639
2.3 11846842 10833311
2.35 9686481 15309042
2.4 10035257 11296570
2.45 9175228 10901825
2.5 9078498 11235031
2.55 8453958 15419751
2.6 11744711 11053587
2.65 9008827 11060019
2.7 8725102 11063348
2.75 8390468 14480053
2.8 10212033 12244663
2.85 11717270 11443795
2.9 9706629 11202357
2.95 10777799 11532266
